subject,session,trial,serialpos,word,recalled,embedding_fidelity
LTP269,12,1,1,JELLY,1,0.8560197423374648
LTP269,12,1,2,SHORTCAKE,1,0.8661081363725394
LTP269,12,1,3,TROMBONE,0,0.8751228589110138
LTP269,12,1,4,GUITAR,0,0.766741192742055
LTP269,12,1,5,FARMER,1,0.806058927393585
LTP269,12,1,6,PICNIC,1,0.8348401682604975
LTP269,12,1,7,MAILMAN,1,0.8793760073575076
LTP269,12,1,8,PLUTO,1,0.8667783901658289
LTP269,12,1,9,SOFTBALL,1,0.8759904689803603
LTP269,12,1,10,UMPIRE,1,0.8535584886058711
LTP269,12,1,11,SUMMIT,0,0.8487043784293299
LTP269,12,1,12,SURVEY,0,0.8383689962919452
LTP269,12,1,13,LADDER,1,0.8300735090165972
LTP269,12,1,14,PORTRAIT,1,0.8796755259509262
LTP269,12,1,15,SKETCH,1,0.868888292868739
LTP269,12,1,16,GIFT,0,0.8440828459078467
LTP269,12,1,17,RATTLE,0,0.8744114376197071
LTP269,12,1,18,TUTU,1,0.7974539803001381
LTP269,12,1,19,KEEPER,1,0.8237167318919077
LTP269,12,1,20,SHRUB,0,0.8513695023892178
LTP269,12,1,21,COFFEE,0,0.8703995500038783
LTP269,12,1,22,POISON,0,0.8265131275308925
LTP269,12,1,23,ZIPPER,0,0.7845000854807898
LTP269,12,1,24,BANQUET,0,0.8874353815088796
LTP269,12,2,1,CABIN,0,0.8421754964617263
LTP269,12,2,2,QUAIL,0,0.8710801864159258
LTP269,12,2,3,ARM,1,0.8119154368049132
LTP269,12,2,4,HOOD,1,0.8644352159904067
LTP269,12,2,5,SHIRT,0,0.862826856712383
LTP269,12,2,6,FLESH,1,0.8465293727534622
LTP269,12,2,7,ANKLE,1,0.8663993479395744
LTP269,12,2,8,CHEST,1,0.8180051479500349
LTP269,12,2,9,FOREHEAD,0,0.8262158766191724
LTP269,12,2,10,TYPIST,0,0.8920361285137517
LTP269,12,2,11,REBEL,1,0.8413321365280203
LTP269,12,2,12,COWBOY,1,0.8639370111219136
LTP269,12,2,13,PIGEON,1,0.8890679439606799
LTP269,12,2,14,PLIERS,1,0.8694684339035487
LTP269,12,2,15,TEMPLE,0,0.8774373293530247
LTP269,12,2,16,MOP,0,0.7926231076156645
LTP269,12,2,17,MARKET,0,0.8488570376060424
LTP269,12,2,18,BEAKER,0,0.8566779903520069
LTP269,12,2,19,NIGHTGOWN,0,0.8357585106901041
LTP269,12,2,20,SCRIBBLE,0,0.8441685684178785
LTP269,12,2,21,VALVE,0,0.8652565965023183
LTP269,12,2,22,DASHBOARD,0,0.8849981290698979
LTP269,12,2,23,SCALPEL,1,0.8900180950539579
LTP269,12,2,24,CRICKET,0,0.8774505360831705
LTP269,12,3,1,GYMNAST,1,0.8704693800991969
LTP269,12,3,2,FOOTBALL,1,0.8447969195989489
LTP269,12,3,3,RIFLE,1,0.860971719572369
LTP269,12,3,4,PEBBLE,1,0.8351428805020257
LTP269,12,3,5,VIKING,1,0.8096326521948479
LTP269,12,3,6,BUBBLE,1,0.8797559172644468
LTP269,12,3,7,BATHTUB,1,0.8586107119204803
LTP269,12,3,8,GROUND,0,0.8184310968575363
LTP269,12,3,9,CONTRACT,0,0.8057871583791659
LTP269,12,3,10,DRINK,0,0.8195148844843424
LTP269,12,3,11,BRANDY,0,0.8744379551697855
LTP269,12,3,12,STONE,0,0.8387523916119825
LTP269,12,3,13,FLUTE,0,0.8241324749374616
LTP269,12,3,14,LEADER,0,0.8263918058261083
LTP269,12,3,15,CASHIER,0,0.8703626516498435
LTP269,12,3,16,COIN,0,0.8349451493887201
LTP269,12,3,17,CABBAGE,0,0.8527628960806718
LTP269,12,3,18,PALACE,0,0.8531934031885193
LTP269,12,3,19,SKIRT,0,0.8608521086646604
LTP269,12,3,20,PEACH,1,0.8326827215096919
LTP269,12,3,21,SUITCASE,0,0.8552075848105193
LTP269,12,3,22,SCISSORS,1,0.8254496367016265
LTP269,12,3,23,GRAVEL,0,0.7658780376477187
LTP269,12,3,24,EMPIRE,0,0.8395277551083483
LTP269,12,4,1,ROBBER,1,0.8409960642035322
LTP269,12,4,2,FRIAR,1,0.8540828986263499
LTP269,12,4,3,CROSS,0,0.8728234401558214
